Date,Time,Facility,Error
21-JUN-22,08:52:26,SYST-034,HOLD signal from SOP/UOP is lost
21-JUN-22,08:52:26,SRVO-199,Controlled Stop
21-JUN-22,08:41:24,SYST-011,Failed to run task
21-JUN-22,08:41:12,PRIO-063,Bad I/O asg: rack 89 slot 1
21-JUN-22,08:41:12,PRIO-063,Bad I/O asg: rack 89 slot 1
21-JUN-22,08:41:12,PRIO-063,Bad I/O asg: rack 89 slot 1
21-JUN-22,08:41:12,PRIO-063,Bad I/O asg: rack 89 slot 1
21-JUN-22,08:41:12,PRIO-063,Bad I/O asg: rack 89 slot 1
21-JUN-22,08:41:12,PRIO-063,Bad I/O asg: rack 89 slot 1
21-JUN-22,08:41:12,PRIO-063,Bad I/O asg: rack 89 slot 1
21-JUN-22,08:41:12,PRIO-063,Bad I/O asg: rack 89 slot 1
21-JUN-22,08:41:12,PRIO-063,Bad I/O asg: rack 89 slot 1
21-JUN-22,08:41:12,PRIO-063,Bad I/O asg: rack 89 slot 1
21-JUN-22,08:41:10,SYST-040,Operation mode AUTO Selected
21-JUN-22,08:41:10,SRVO-233,"TP OFF in T1,T2"
21-JUN-22,08:41:10,SYST-043,TP disabled in T1/T2 mode
21-JUN-22,08:41:10,SRVO-003,Deadman switch released
21-JUN-22,08:41:10,PROG-048,Shift released while running (STYLE012)
21-JUN-22,08:41:04,SEAL-349,Proc logger process_id not found (E2)
21-JUN-22,08:40:52,SEAL-349,Proc logger process_id not found (E2)
21-JUN-22,08:40:52,MOTN-231,T1 speed limit (G:1)
21-JUN-22,08:40:50,MOTN-231,T1 speed limit (G:1)
21-JUN-22,08:40:48,MOTN-231,T1 speed limit (G:1)
21-JUN-22,08:40:48,MOTN-231,T1 speed limit (G:1)
21-JUN-22,08:40:40,TPIF-106,Program is already running
21-JUN-22,08:40:40,PRIO-063,Bad I/O asg: rack 89 slot 1
21-JUN-22,08:40:40,SYST-179,SHIFT-RESET Released
21-JUN-22,08:40:38,SYST-178,SHIFT-RESET Pressed
21-JUN-22,08:40:38,SYST-178,SHIFT-RESET Pressed
21-JUN-22,08:40:38,SYST-178,SHIFT-RESET Pressed
21-JUN-22,08:40:38,SYST-178,SHIFT-RESET Pressed
21-JUN-22,08:40:38,SYST-178,SHIFT-RESET Pressed
21-JUN-22,08:40:30,SRVO-003,Deadman switch released
21-JUN-22,08:40:30,PRIO-063,Bad I/O asg: rack 89 slot 1
21-JUN-22,08:40:28,PRIO-063,Bad I/O asg: rack 89 slot 1
21-JUN-22,08:40:26,SRVO-003,Deadman switch released
21-JUN-22,08:40:18,SRVO-003,Deadman switch released
21-JUN-22,08:40:18,PRIO-063,Bad I/O asg: rack 89 slot 1
21-JUN-22,08:40:18,SYST-179,SHIFT-RESET Released
22-JUN-22,12:28:40,SYST-014,Program select failed
22-JUN-22,12:27:04,SYST-014,Program select failed
22-JUN-22,10:28:18,PROG-007,Program is already running
22-JUN-22,10:28:12,SEAL-349,Proc logger process_id not found (E2)
22-JUN-22,10:28:12,SEAL-270,Flow command above maximum (E2)
